,imdb_full_link,role_type,year,movie_name
0,https://www.imdb.com/name/nm0000134,actor-tt4075436,,Untitled De Niro/Ramirez/Jakubowicz Project
1,https://www.imdb.com/name/nm0000134,actor-tt8373206,,About My Father
2,https://www.imdb.com/name/nm0000134,actor-tt13055982,2022,Wash Me in the River
3,https://www.imdb.com/name/nm0000134,actor-tt5420210,2020,The Comeback Trail
4,https://www.imdb.com/name/nm0000134,actor-tt4532038,2020,The War with Grandpa
5,https://www.imdb.com/name/nm0000134,actor-tt7286456,2019,Joker
6,https://www.imdb.com/name/nm0000134,actor-tt1933667,2017,The Wizard of Lies
7,https://www.imdb.com/name/nm0000134,actor-tt1781827,2016,Hands of Stone
8,https://www.imdb.com/name/nm0000134,actor-tt2446980,2015/I,Joy
9,https://www.imdb.com/name/nm0000134,actor-tt5227516,2015,Ellis
10,https://www.imdb.com/name/nm0000134,actor-tt2361509,2015/I,The Intern
11,https://www.imdb.com/name/nm0000134,actor-tt2212008,2014/I,The Bag Man
12,https://www.imdb.com/name/nm0000134,actor-tt1800241,2013,American Hustle
13,https://www.imdb.com/name/nm0000134,actor-tt2404311,2013/I,The Family
14,https://www.imdb.com/name/nm0000134,actor-tt1931435,2013,The Big Wedding
15,https://www.imdb.com/name/nm0000134,actor-tt1815708,2012,Freelancers
16,https://www.imdb.com/name/nm0000134,actor-tt1748179,2012,Red Lights
17,https://www.imdb.com/name/nm0000134,actor-tt1448755,2011,Killer Elite
18,https://www.imdb.com/name/nm0000134,actor-tt6779974,2011,Little Fockers: Deleted Scenes
19,https://www.imdb.com/name/nm0000134,actor-tt1219289,2011/I,Limitless
20,https://www.imdb.com/name/nm0000134,actor-tt0496424,2011,30 Rock
21,https://www.imdb.com/name/nm0000134,actor-tt1423995,2010,Stone
22,https://www.imdb.com/name/nm0000134,actor-tt0780511,2009,Everybody's Fine
23,https://www.imdb.com/name/nm0000134,actor-tt0486674,2008,What Just Happened
24,https://www.imdb.com/name/nm0000134,actor-tt3492560,2007,"Vanity Fair: Killers Kill, Dead Men Die"
25,https://www.imdb.com/name/nm0000134,actor-tt0344854,2006,Arthur and the Invisibles
26,https://www.imdb.com/name/nm0000134,actor-tt5091774,2005,Club Oscar
27,https://www.imdb.com/name/nm0000134,actor-tt0356443,2004,The Bridge of San Luis Rey
28,https://www.imdb.com/name/nm0000134,actor-tt0307453,2004,Shark Tale
29,https://www.imdb.com/name/nm0000134,actor-tt0289848,2002,Analyze That
30,https://www.imdb.com/name/nm0000134,actor-tt0284490,2002,Showtime
31,https://www.imdb.com/name/nm0000134,actor-tt0227445,2001,The Score
32,https://www.imdb.com/name/nm0000134,actor-tt0212338,2000,Meet the Parents
33,https://www.imdb.com/name/nm0000134,actor-tt0131704,2000,The Adventures of Rocky & Bullwinkle
34,https://www.imdb.com/name/nm0000134,actor-tt0122933,1999,Analyze This
35,https://www.imdb.com/name/nm0000134,actor-tt0119223,1998,Great Expectations
36,https://www.imdb.com/name/nm0000134,actor-tt0119396,1997,Jackie Brown
37,https://www.imdb.com/name/nm0000134,actor-tt0116999,1996,Marvin's Room
38,https://www.imdb.com/name/nm0000134,actor-tt0116277,1996,The Fan
39,https://www.imdb.com/name/nm0000134,actor-tt0112641,1995,Casino
40,https://www.imdb.com/name/nm0000134,actor-tt0109836,1994,Frankenstein
41,https://www.imdb.com/name/nm0000134,actor-tt0108330,1993,This Boy's Life
42,https://www.imdb.com/name/nm0000134,actor-tt0105001,1992,Night and the City
43,https://www.imdb.com/name/nm0000134,actor-tt0101540,1991,Cape Fear
44,https://www.imdb.com/name/nm0000134,actor-tt0101984,1991,Guilty by Suspicion
45,https://www.imdb.com/name/nm0000134,actor-tt0099685,1990,Goodfellas
46,https://www.imdb.com/name/nm0000134,actor-tt0098625,1989,We're No Angels
47,https://www.imdb.com/name/nm0000134,actor-tt0095631,1988,Midnight Run
48,https://www.imdb.com/name/nm0000134,actor-tt0094226,1987,The Untouchables
49,https://www.imdb.com/name/nm0000134,actor-tt0091530,1986,The Mission
50,https://www.imdb.com/name/nm0000134,actor-tt0087233,1984,Falling in Love
51,https://www.imdb.com/name/nm0000134,actor-tt0085794,1982,The King of Comedy
52,https://www.imdb.com/name/nm0000134,actor-tt0081398,1980,Raging Bull
53,https://www.imdb.com/name/nm0000134,actor-tt0809488,1977,The Godfather: A Novel for Television
54,https://www.imdb.com/name/nm0000134,actor-tt0074777,1976,The Last Tycoon
55,https://www.imdb.com/name/nm0000134,actor-tt0075314,1976,Taxi Driver
56,https://www.imdb.com/name/nm0000134,actor-tt0070379,1973,Mean Streets
57,https://www.imdb.com/name/nm0000134,actor-tt0067124,1971,The Gang That Couldn't Shoot Straight
58,https://www.imdb.com/name/nm0000134,actor-tt0067266,1971,Jennifer on My Mind
59,https://www.imdb.com/name/nm0000134,actor-tt0065481,1970,Bloody Mama
60,https://www.imdb.com/name/nm0000134,actor-tt0065198,1969,The Wedding Party
61,https://www.imdb.com/name/nm0000134,actor-tt0063154,1968,Les jeunes loups
62,https://www.imdb.com/name/nm0000134,actor-tt0179492,1965,Trois chambres à Manhattan
63,https://www.imdb.com/name/nm0000134,actor-tt3143812,,After Exile
64,https://www.imdb.com/name/nm0000134,actor-tt5537002,,Killers of the Flower Moon
65,https://www.imdb.com/name/nm0000134,actor-tt10304142,2022,Untitled David O. Russell
66,https://www.imdb.com/name/nm0000134,actor-tt13160412,2020,Father of the Bride Part 3 (ish)
67,https://www.imdb.com/name/nm0000134,actor-tt1302006,2019,The Irishman
68,https://www.imdb.com/name/nm0000134,actor-tt0072562,2013-2019,Saturday Night Live
69,https://www.imdb.com/name/nm0000134,actor-tt1967614,2016/III,The Comedian
70,https://www.imdb.com/name/nm0000134,actor-tt1860213,2016,Dirty Grandpa
71,https://www.imdb.com/name/nm0000134,actor-tt3276924,2015/III,Heist
72,https://www.imdb.com/name/nm0000134,actor-tt4016250,2015/III,The Audition
73,https://www.imdb.com/name/nm0000134,actor-tt10908058,2014,The King of Comedy: Deleted and Extended Scenes
74,https://www.imdb.com/name/nm0000134,actor-tt1661382,2013,Grudge Match
75,https://www.imdb.com/name/nm0000134,actor-tt1204975,2013,Last Vegas
76,https://www.imdb.com/name/nm0000134,actor-tt1480295,2013,Killing Season
77,https://www.imdb.com/name/nm0000134,actor-tt1045658,2012,Silver Linings Playbook
78,https://www.imdb.com/name/nm0000134,actor-tt0455323,2012,Being Flynn
79,https://www.imdb.com/name/nm0000134,actor-tt1598822,2011,New Year's Eve
80,https://www.imdb.com/name/nm0000134,actor-tt6779822,2011,"Little Fockers: Alternate Opening, Wedding Dream and Morning Wakeup"
81,https://www.imdb.com/name/nm0000134,actor-tt6780018,2011,Little Fockers: Gag Reel
