,name,married,divorced,separated,annulled
0,Robert_De_Niro,2,1,1,0
1,Jack_Nicholson,1,1,0,0
2,Marlon_Brando,3,2,0,1
3,Denzel_Washington,1,0,0,0
4,Katharine_Hepburn,1,1,0,0
5,Humphrey_Bogart,4,3,0,0
6,Meryl_Streep,1,0,0,0
7,Daniel_Day-Lewis,1,0,0,0
8,Sidney_Poitier,2,1,0,0
9,Clark_Gable,5,3,0,0
10,Ingrid_Bergman,3,3,0,0
11,Tom_Hanks,2,1,0,0
12,Elizabeth_Taylor,8,7,0,0
13,Bette_Davis,4,3,0,0
14,Gregory_Peck,2,1,0,0
15,Leonardo_DiCaprio,0,0,0,0
16,Cate_Blanchett,1,0,0,0
17,Audrey_Hepburn,0,0,0,0
18,Spencer_Tracy,1,0,1,0
19,Kate_Winslet,3,2,0,0
20,Shah_Rukh_Khan,1,0,0,0
21,Viola_Davis,1,0,0,0
22,Sophia_Loren,2,0,0,1
23,Cary_Grant,0,0,0,0
24,Vivien_Leigh,2,2,0,0
25,Marilyn_Monroe,3,3,0,0
26,Laurence_Olivier,0,0,0,0
27,James_Stewart,1,0,0,0
28,Steve_McQueen,3,2,0,0
29,Diane_Keaton,0,0,0,0
30,Julia_Roberts,2,1,0,0
31,Jodie_Foster,1,0,0,0
32,Judy_Garland,5,4,0,0
33,Morgan_Freeman,2,2,0,0
34,Paul_Newman,2,1,0,0
35,Henry_Fonda,5,3,0,0
36,Catherine_Deneuve,1,1,0,0
37,Grace_Kelly,1,0,0,0
38,Helen_Mirren,1,0,0,0
39,James_Cagney,1,0,0,0
40,Angela_Bassett,1,0,0,0
41,Johnny_Depp,2,2,0,0
42,Greta_Garbo,0,0,0,0
43,Olivia_de_Havilland,2,2,0,0
44,Charles_Chaplin,4,3,0,0
45,Setsuko_Hara,0,0,0,0
46,Julie_Andrews,2,1,0,0
47,Montgomery_Clift,0,0,0,0
48,Isabelle_Huppert,0,0,0,0
49,Al_Pacino,0,0,0,0
50,Rita_Hayworth,5,5,0,0
51,Halle_Berry,3,2,1,0
52,James_Dean,0,0,0,0
53,Kirk_Douglas,2,1,0,0
54,Natalie_Wood,3,2,0,0
55,Marcello_Mastroianni,1,0,0,0
56,Joan_Crawford,4,3,0,0
57,Harrison_Ford,3,2,0,0
58,Susan_Sarandon,1,1,0,0
59,Gene_Kelly,3,1,0,0
60,Glenn_Close,3,3,0,0
61,Joan_Fontaine,4,4,0,0
62,Julianne_Moore,2,1,0,0
63,Will_Smith,2,1,0,0
64,Bruce_Lee,1,0,0,0
65,Regina_King,1,1,0,0
66,Angelina_Jolie,3,3,0,0
67,John_Wayne,3,2,0,0
68,Jane_Fonda,3,3,0,0
69,Charlton_Heston,1,0,0,0
70,Gary_Cooper,1,0,0,0
71,Anthony_Hopkins,3,2,0,0
72,Liv_Ullmann,2,2,0,0
73,Natalie_Portman,1,0,0,0
74,Gérard_Depardieu,1,1,1,0
75,Forest_Whitaker,1,1,0,0
76,Sandra_Bullock,1,1,0,0
77,Deborah_Kerr,2,1,0,0
