"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.document_url","Answer.category.label","Approve","Reject"
"32TZXEA1OMKU1WOBV6U0R3FFI7B14N","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","3I33IC7ZWG2IFQKIDD97X968X8QA29","A1GC6CN3F0IHWN","Submitted","Sun Mar 13 13:14:48 PDT 2022","Sun Mar 13 13:14:55 PDT 2022","Wed Mar 16 13:14:55 PDT 2022","","","","7","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Robert_De_Niro","Person has been married, got divorced"
"32TZXEA1OMKU1WOBV6U0R3FFI7B14N","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","3LRLIPTPER9DW6O82JFBX5S2E8CAKV","A1ICCBJHXPTFUM","Submitted","Sun Mar 13 13:15:32 PDT 2022","Sun Mar 13 13:15:52 PDT 2022","Wed Mar 16 13:15:52 PDT 2022","","","","20","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Robert_De_Niro","Person has been married, got divorced"
"32TZXEA1OMKU1WOBV6U0R3FFI7B14N","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","34V1S5K3GT1SS8TE897ARRC07VB698","A30BPQ2QGZOXN8","Submitted","Sun Mar 13 13:23:50 PDT 2022","Sun Mar 13 13:24:41 PDT 2022","Wed Mar 16 13:24:41 PDT 2022","","","","51","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Robert_De_Niro","Person has been married, got divorced"
"3OCZWXS7ZP7PNMWF2LVTGAU7G9B5L2","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","31QNSG6A5STBI3O9MR6OX9HLI0C78I","A30BPQ2QGZOXN8","Submitted","Sun Mar 13 13:14:33 PDT 2022","Sun Mar 13 13:14:47 PDT 2022","Wed Mar 16 13:14:47 PDT 2022","","","","14","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Jack_Nicholson","Person has been married, got divorced"
"3OCZWXS7ZP7PNMWF2LVTGAU7G9B5L2","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","38YMOXR4MVZ3446M1KH25BKB5WUW6M","A3BISMR4GI02ZG","Submitted","Sun Mar 13 13:12:14 PDT 2022","Sun Mar 13 13:12:28 PDT 2022","Wed Mar 16 13:12:28 PDT 2022","","","","14","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Jack_Nicholson","Person has been married, got divorced"
"3OCZWXS7ZP7PNMWF2LVTGAU7G9B5L2","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","3CP1TO84PU1L9K81IHIQPYQM5UQ52Z","ARW1TCHCLEK1W","Submitted","Sun Mar 13 13:21:43 PDT 2022","Sun Mar 13 13:21:49 PDT 2022","Wed Mar 16 13:21:49 PDT 2022","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Jack_Nicholson","Person has been married, got divorced"
"3IV1AEQ4DSD2FERHXYQJCFR6EA6J8F","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","3U8YCDAGXQG36WOLNM2F4LSY4STQ0D","A3GU6GWYREJS0S","Submitted","Sun Mar 13 13:26:49 PDT 2022","Sun Mar 13 13:45:36 PDT 2022","Wed Mar 16 13:45:36 PDT 2022","","","","1127","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Marlon_Brando","Person has been married, got divorced"
"3IV1AEQ4DSD2FERHXYQJCFR6EA6J8F","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","34PGFRQONPBFSZLTL3BREFPGR2HWJV","A3RR91G2KJO9NI","Submitted","Sun Mar 13 13:30:27 PDT 2022","Sun Mar 13 13:30:33 PDT 2022","Wed Mar 16 13:30:33 PDT 2022","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Marlon_Brando","Person has been married, got divorced"
"3IV1AEQ4DSD2FERHXYQJCFR6EA6J8F","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","31QTRG6Q2UDF3FJRVHYZW8W8B9LPYL","A5VV2BPMPA2KO","Submitted","Sun Mar 13 13:21:30 PDT 2022","Sun Mar 13 13:21:38 PDT 2022","Wed Mar 16 13:21:38 PDT 2022","","","","8","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Marlon_Brando","Person has been married, got divorced"
"3PGQRAZX03KATN1PXWXR3T6V38MYSO","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","36U2A8VAG2ZESOMBIPTR0RA9HZGYKU","A1HTD503IBSF5A","Submitted","Sun Mar 13 13:25:23 PDT 2022","Sun Mar 13 13:42:21 PDT 2022","Wed Mar 16 13:42:21 PDT 2022","","","","1018","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Denzel_Washington","Person is married, never divorced"
