,rank,name,imdb_stub_link,imdb_full_link
0,1.,Robert De Niro,/name/nm0000134,https://www.imdb.com/name/nm0000134
1,2.,Jack Nicholson,/name/nm0000197,https://www.imdb.com/name/nm0000197
2,3.,Marlon Brando,/name/nm0000008,https://www.imdb.com/name/nm0000008
3,4.,Denzel Washington,/name/nm0000243,https://www.imdb.com/name/nm0000243
4,5.,Katharine Hepburn,/name/nm0000031,https://www.imdb.com/name/nm0000031
5,6.,Humphrey Bogart,/name/nm0000007,https://www.imdb.com/name/nm0000007
6,7.,Meryl Streep,/name/nm0000658,https://www.imdb.com/name/nm0000658
7,8.,Daniel Day-Lewis,/name/nm0000358,https://www.imdb.com/name/nm0000358
8,9.,Sidney Poitier,/name/nm0001627,https://www.imdb.com/name/nm0001627
9,10.,Clark Gable,/name/nm0000022,https://www.imdb.com/name/nm0000022
10,11.,Ingrid Bergman,/name/nm0000006,https://www.imdb.com/name/nm0000006
11,12.,Tom Hanks,/name/nm0000158,https://www.imdb.com/name/nm0000158
12,13.,Elizabeth Taylor,/name/nm0000072,https://www.imdb.com/name/nm0000072
13,14.,Bette Davis,/name/nm0000012,https://www.imdb.com/name/nm0000012
14,15.,Gregory Peck,/name/nm0000060,https://www.imdb.com/name/nm0000060
15,16.,Leonardo DiCaprio,/name/nm0000138,https://www.imdb.com/name/nm0000138
16,17.,Cate Blanchett,/name/nm0000949,https://www.imdb.com/name/nm0000949
17,18.,Audrey Hepburn,/name/nm0000030,https://www.imdb.com/name/nm0000030
18,19.,Spencer Tracy,/name/nm0000075,https://www.imdb.com/name/nm0000075
19,20.,Kate Winslet,/name/nm0000701,https://www.imdb.com/name/nm0000701
20,21.,Shah Rukh Khan,/name/nm0451321,https://www.imdb.com/name/nm0451321
21,22.,Viola Davis,/name/nm0205626,https://www.imdb.com/name/nm0205626
22,23.,Sophia Loren,/name/nm0000047,https://www.imdb.com/name/nm0000047
23,24.,Cary Grant,/name/nm0000026,https://www.imdb.com/name/nm0000026
24,25.,Vivien Leigh,/name/nm0000046,https://www.imdb.com/name/nm0000046
25,26.,Marilyn Monroe,/name/nm0000054,https://www.imdb.com/name/nm0000054
26,27.,Laurence Olivier,/name/nm0000059,https://www.imdb.com/name/nm0000059
27,28.,James Stewart,/name/nm0000071,https://www.imdb.com/name/nm0000071
28,29.,Steve McQueen,/name/nm0000537,https://www.imdb.com/name/nm0000537
29,30.,Diane Keaton,/name/nm0000473,https://www.imdb.com/name/nm0000473
30,31.,Julia Roberts,/name/nm0000210,https://www.imdb.com/name/nm0000210
31,32.,Jodie Foster,/name/nm0000149,https://www.imdb.com/name/nm0000149
32,33.,Judy Garland,/name/nm0000023,https://www.imdb.com/name/nm0000023
33,34.,Morgan Freeman,/name/nm0000151,https://www.imdb.com/name/nm0000151
34,35.,Paul Newman,/name/nm0000056,https://www.imdb.com/name/nm0000056
35,36.,Henry Fonda,/name/nm0000020,https://www.imdb.com/name/nm0000020
36,37.,Catherine Deneuve,/name/nm0000366,https://www.imdb.com/name/nm0000366
37,38.,Grace Kelly,/name/nm0000038,https://www.imdb.com/name/nm0000038
38,39.,Helen Mirren,/name/nm0000545,https://www.imdb.com/name/nm0000545
39,40.,James Cagney,/name/nm0000010,https://www.imdb.com/name/nm0000010
40,41.,Angela Bassett,/name/nm0000291,https://www.imdb.com/name/nm0000291
41,42.,Johnny Depp,/name/nm0000136,https://www.imdb.com/name/nm0000136
42,43.,Greta Garbo,/name/nm0001256,https://www.imdb.com/name/nm0001256
43,44.,Olivia de Havilland,/name/nm0000014,https://www.imdb.com/name/nm0000014
44,45.,Charles Chaplin,/name/nm0000122,https://www.imdb.com/name/nm0000122
45,46.,Setsuko Hara,/name/nm0361697,https://www.imdb.com/name/nm0361697
46,47.,Julie Andrews,/name/nm0000267,https://www.imdb.com/name/nm0000267
47,48.,Montgomery Clift,/name/nm0001050,https://www.imdb.com/name/nm0001050
48,49.,Isabelle Huppert,/name/nm0001376,https://www.imdb.com/name/nm0001376
49,50.,Al Pacino,/name/nm0000199,https://www.imdb.com/name/nm0000199
50,51.,Rita Hayworth,/name/nm0000028,https://www.imdb.com/name/nm0000028
51,52.,Halle Berry,/name/nm0000932,https://www.imdb.com/name/nm0000932
52,53.,James Dean,/name/nm0000015,https://www.imdb.com/name/nm0000015
