,Unnamed: 0,rank,name,imdb_stub_link,imdb_full_link,wikipedia_url
0,0,1.,Robert De Niro,/name/nm0000134,https://www.imdb.com/name/nm0000134,https://en.wikipedia.org/wiki/Robert_De_Niro
1,1,2.,Jack Nicholson,/name/nm0000197,https://www.imdb.com/name/nm0000197,https://en.wikipedia.org/wiki/Jack_Nicholson
2,2,3.,Marlon Brando,/name/nm0000008,https://www.imdb.com/name/nm0000008,https://en.wikipedia.org/wiki/Marlon_Brando
3,3,4.,Denzel Washington,/name/nm0000243,https://www.imdb.com/name/nm0000243,https://en.wikipedia.org/wiki/Denzel_Washington
4,4,5.,Katharine Hepburn,/name/nm0000031,https://www.imdb.com/name/nm0000031,https://en.wikipedia.org/wiki/Katharine_Hepburn
5,5,6.,Humphrey Bogart,/name/nm0000007,https://www.imdb.com/name/nm0000007,https://en.wikipedia.org/wiki/Humphrey_Bogart
6,6,7.,Meryl Streep,/name/nm0000658,https://www.imdb.com/name/nm0000658,https://en.wikipedia.org/wiki/Meryl_Streep
7,7,8.,Daniel Day-Lewis,/name/nm0000358,https://www.imdb.com/name/nm0000358,https://en.wikipedia.org/wiki/Daniel_Day-Lewis
8,8,9.,Sidney Poitier,/name/nm0001627,https://www.imdb.com/name/nm0001627,https://en.wikipedia.org/wiki/Sidney_Poitier
9,9,10.,Clark Gable,/name/nm0000022,https://www.imdb.com/name/nm0000022,https://en.wikipedia.org/wiki/Clark_Gable
10,10,11.,Ingrid Bergman,/name/nm0000006,https://www.imdb.com/name/nm0000006,https://en.wikipedia.org/wiki/Ingrid_Bergman
11,11,12.,Tom Hanks,/name/nm0000158,https://www.imdb.com/name/nm0000158,https://en.wikipedia.org/wiki/Tom_Hanks
12,12,13.,Elizabeth Taylor,/name/nm0000072,https://www.imdb.com/name/nm0000072,https://en.wikipedia.org/wiki/Elizabeth_Taylor
13,13,14.,Bette Davis,/name/nm0000012,https://www.imdb.com/name/nm0000012,https://en.wikipedia.org/wiki/Bette_Davis
14,14,15.,Gregory Peck,/name/nm0000060,https://www.imdb.com/name/nm0000060,https://en.wikipedia.org/wiki/Gregory_Peck
15,15,16.,Leonardo DiCaprio,/name/nm0000138,https://www.imdb.com/name/nm0000138,https://en.wikipedia.org/wiki/Leonardo_DiCaprio
16,16,17.,Cate Blanchett,/name/nm0000949,https://www.imdb.com/name/nm0000949,https://en.wikipedia.org/wiki/Cate_Blanchett
17,17,18.,Audrey Hepburn,/name/nm0000030,https://www.imdb.com/name/nm0000030,https://en.wikipedia.org/wiki/Audrey_Hepburn
18,18,19.,Spencer Tracy,/name/nm0000075,https://www.imdb.com/name/nm0000075,https://en.wikipedia.org/wiki/Spencer_Tracy
19,19,20.,Kate Winslet,/name/nm0000701,https://www.imdb.com/name/nm0000701,https://en.wikipedia.org/wiki/Kate_Winslet
20,20,21.,Shah Rukh Khan,/name/nm0451321,https://www.imdb.com/name/nm0451321,https://en.wikipedia.org/wiki/Shah_Rukh_Khan
21,21,22.,Viola Davis,/name/nm0205626,https://www.imdb.com/name/nm0205626,https://en.wikipedia.org/wiki/Viola_Davis
22,22,23.,Sophia Loren,/name/nm0000047,https://www.imdb.com/name/nm0000047,https://en.wikipedia.org/wiki/Sophia_Loren
23,23,24.,Cary Grant,/name/nm0000026,https://www.imdb.com/name/nm0000026,https://en.wikipedia.org/wiki/Cary_Grant
24,24,25.,Vivien Leigh,/name/nm0000046,https://www.imdb.com/name/nm0000046,https://en.wikipedia.org/wiki/Vivien_Leigh
25,25,26.,Marilyn Monroe,/name/nm0000054,https://www.imdb.com/name/nm0000054,https://en.wikipedia.org/wiki/Marilyn_Monroe
26,26,27.,Laurence Olivier,/name/nm0000059,https://www.imdb.com/name/nm0000059,https://en.wikipedia.org/wiki/Laurence_Olivier
27,27,28.,James Stewart,/name/nm0000071,https://www.imdb.com/name/nm0000071,https://en.wikipedia.org/wiki/James_Stewart
28,28,29.,Steve McQueen,/name/nm0000537,https://www.imdb.com/name/nm0000537,https://en.wikipedia.org/wiki/Steve_McQueen
29,29,30.,Diane Keaton,/name/nm0000473,https://www.imdb.com/name/nm0000473,https://en.wikipedia.org/wiki/Diane_Keaton
30,30,31.,Julia Roberts,/name/nm0000210,https://www.imdb.com/name/nm0000210,https://en.wikipedia.org/wiki/Julia_Roberts
31,31,32.,Jodie Foster,/name/nm0000149,https://www.imdb.com/name/nm0000149,https://en.wikipedia.org/wiki/Jodie_Foster
32,32,33.,Judy Garland,/name/nm0000023,https://www.imdb.com/name/nm0000023,https://en.wikipedia.org/wiki/Judy_Garland
33,33,34.,Morgan Freeman,/name/nm0000151,https://www.imdb.com/name/nm0000151,https://en.wikipedia.org/wiki/Morgan_Freeman
34,34,35.,Paul Newman,/name/nm0000056,https://www.imdb.com/name/nm0000056,https://en.wikipedia.org/wiki/Paul_Newman
35,35,36.,Henry Fonda,/name/nm0000020,https://www.imdb.com/name/nm0000020,https://en.wikipedia.org/wiki/Henry_Fonda
36,36,37.,Catherine Deneuve,/name/nm0000366,https://www.imdb.com/name/nm0000366,https://en.wikipedia.org/wiki/Catherine_Deneuve
37,37,38.,Grace Kelly,/name/nm0000038,https://www.imdb.com/name/nm0000038,https://en.wikipedia.org/wiki/Grace_Kelly
38,38,39.,Helen Mirren,/name/nm0000545,https://www.imdb.com/name/nm0000545,https://en.wikipedia.org/wiki/Helen_Mirren
39,39,40.,James Cagney,/name/nm0000010,https://www.imdb.com/name/nm0000010,https://en.wikipedia.org/wiki/James_Cagney
40,40,41.,Angela Bassett,/name/nm0000291,https://www.imdb.com/name/nm0000291,https://en.wikipedia.org/wiki/Angela_Bassett
41,41,42.,Johnny Depp,/name/nm0000136,https://www.imdb.com/name/nm0000136,https://en.wikipedia.org/wiki/Johnny_Depp
42,42,43.,Greta Garbo,/name/nm0001256,https://www.imdb.com/name/nm0001256,https://en.wikipedia.org/wiki/Greta_Garbo
43,43,44.,Olivia de Havilland,/name/nm0000014,https://www.imdb.com/name/nm0000014,https://en.wikipedia.org/wiki/Olivia_de_Havilland
44,44,45.,Charles Chaplin,/name/nm0000122,https://www.imdb.com/name/nm0000122,https://en.wikipedia.org/wiki/Charles_Chaplin
45,45,46.,Setsuko Hara,/name/nm0361697,https://www.imdb.com/name/nm0361697,https://en.wikipedia.org/wiki/Setsuko_Hara
46,46,47.,Julie Andrews,/name/nm0000267,https://www.imdb.com/name/nm0000267,https://en.wikipedia.org/wiki/Julie_Andrews
47,47,48.,Montgomery Clift,/name/nm0001050,https://www.imdb.com/name/nm0001050,https://en.wikipedia.org/wiki/Montgomery_Clift
48,48,49.,Isabelle Huppert,/name/nm0001376,https://www.imdb.com/name/nm0001376,https://en.wikipedia.org/wiki/Isabelle_Huppert
49,49,50.,Al Pacino,/name/nm0000199,https://www.imdb.com/name/nm0000199,https://en.wikipedia.org/wiki/Al_Pacino
50,50,51.,Rita Hayworth,/name/nm0000028,https://www.imdb.com/name/nm0000028,https://en.wikipedia.org/wiki/Rita_Hayworth
51,51,52.,Halle Berry,/name/nm0000932,https://www.imdb.com/name/nm0000932,https://en.wikipedia.org/wiki/Halle_Berry
52,52,53.,James Dean,/name/nm0000015,https://www.imdb.com/name/nm0000015,https://en.wikipedia.org/wiki/James_Dean
53,53,54.,Kirk Douglas,/name/nm0000018,https://www.imdb.com/name/nm0000018,https://en.wikipedia.org/wiki/Kirk_Douglas
54,54,55.,Natalie Wood,/name/nm0000081,https://www.imdb.com/name/nm0000081,https://en.wikipedia.org/wiki/Natalie_Wood
55,55,56.,Marcello Mastroianni,/name/nm0000052,https://www.imdb.com/name/nm0000052,https://en.wikipedia.org/wiki/Marcello_Mastroianni
56,56,57.,Joan Crawford,/name/nm0001076,https://www.imdb.com/name/nm0001076,https://en.wikipedia.org/wiki/Joan_Crawford
57,57,58.,Harrison Ford,/name/nm0000148,https://www.imdb.com/name/nm0000148,https://en.wikipedia.org/wiki/Harrison_Ford
58,58,59.,Susan Sarandon,/name/nm0000215,https://www.imdb.com/name/nm0000215,https://en.wikipedia.org/wiki/Susan_Sarandon
